Id,Title
1,یقه دار
2,یقه اسکی
3,یقه گرد
4,استین بلند
5,استین کوتاه
6,استین حلقه
7,یقه هفت
8,طرح ترمه
9,لباس اسپرت
9,شلوار اسپرت
9,پیراهن اسپرت
10,پیراهن مجلسی
10,لباس مجلسی
11,پاییزی
11,پاییزه
12,شلوار پلنگی
13,عروسکی
14,ماکسی
15,مانتویی
16,چارخونه
16,چهارخونه
16,چهارخانه
17,پیراهن توری
18,پیراهن لانگ
19,پرنسسی
20,اورال
21,گلدوزی
22,پیراهن کلاسیک
23,کلاهدار
24,تارتان
25,اسلیم
26,استردار
28,خامهدوزی
29,دوبنده
30,دوجیب
31,کژوال
32,خفاشی
33,سرخپوستی
34,شطرنجی
35,یونیکورن
36,گلگلی
37,چریکی
38,دمپا
39,شلوار ورزشی
40,شلوار حوله
41,سنبادی
42,شلوار خانگی
43,شلوار ارتشی
44,شلوار اسکی
45,دمپاکش
46,خزدار
47,کفش طبی
48,کفش کالج
49,کفش کوهنوردی
50,کفش جورابی
51,رانینگ
52,تابستانه
53,بهاره
54,یقه قایقی
55,لباس کوتاه
55,مانتو کوتاه
55,شلوار کوتاه
56,یقه مردانه
57,استین پفی
58,استین کلوش
59,سوزن دوزی
60,چاپ زول
61,شش جیب
61,شیش جیب
