Id,Title,CategoryId
1,زنانه,0
2,مردانه,0
3,دخترانه,0
4,پسرانه,0
5,بچگانه,0
6,همه,0
7,لباس,1
8,کفش,1
9,اکسسوری,1
10,لباس,2
11,کفش,2
12,اکسسوری,2
13,لباس,3
14,کفش,3
15,اکسسوری,3
16,لباس,4
17,کفش,4
18,اکسسوری,4
19,لباس,5
20,کفش,5
21,اکسسوری,5
22,لباس,6
23,کفش,6
24,اکسسوری,6
25,کت و ست رسمی,7
26,پیراهن و لباس مجلسی,7
27,لباس خواب و راحتی,7
28,پوشش اسلامی,7
29,شلوار و سرهمی,7
30,ژاکت و پلیور,7
31,لباس بارداری,7
32,لباس زمستانه,7
33,بلوز، شومیز و بادی,7
34,شلوارک و شورتک,7
35,دامن و سارافون,7
36,لباس ورزشی,7
37,سویشرت و هودی,7
38,تیشرت و پولوشرت,7
39,تاپ و نیم تنه,7
40,تونیک,7
41,لباس شنا,7
42,لباس زیر,7
43,نیم بوت,8
44,بوت و چکمه,8
45,گیوه,8
46,دمپایی و صندل,8
47,پاشنه دار,8
48,ورزشی,8
49,کالج,8
50,کیف، کوله پشتی و چمدان,9
51,عینک,9
52,جوراب، جوراب شلواری و ساق,9
53,دستکش,9
54,کمربند,9
55,زیورآلات,9
56,اکسسوری مو,9
57,کلاه، شال و روسری,9
58,کراوات و پاپیون,9
59,ساعت,9
61,کت و ست رسمی,10
62,لباس خواب و راحتی,10
63,شلوار,10
64,ژاکت و پلیور,10
65,لباس زمستانه,10
66,پیراهن,10
67,شلوارک,10
68,لباس ورزشی,10
69,سویشرت و هودی,10
70,تیشرت و پولوشرت,10
71,تاپ,10
72,بلوز,10
73,لباس شنا,10
74,لباس زیر,10
75,نیم بوت,11
76,بوت,11
77,گیوه,11
78,دمپایی,11
79,رسمی,11
80,ورزشی,11
81,کالج,11
82,کیف، کوله پشتی و چمدان,12
83,عینک,12
84,جوراب و ساق,12
85,دستکش,12
86,کمربند و ساسبند,12
87,زیورآلات,12
88,شال,12
89,کلاه,12
90,کراوات و پاپیون,12
91,ساعت,12
93,لباس خواب و راحتی,13
94,تاپ، تیشرت و پولوشرت,13
95,شلوار و سرهمی,13
96,شلوارک و شورتک,13
97,سویشرت و هودی,13
98,ژاکت و پلیور,13
99,لباس ورزشی,13
100,پیراهن، دامن و سارافون,13
101,بلوز، شومیز و تونیک,13
102,لباس مجلسی,13
103,لباس زمستانه,13
104,لباس شنا,13
105,لباس زیر,13
106,ورزشی,14
107,کیف، کوله پشتی و چمدان,15
108,عینک,15
109,جوراب، جوراب شلواری و ساق,15
110,دستکش,15
111,کمربند,15
112,زیورآلات,15
113,اکسسوری مو,15
114,کلاه و شال,15
115,ساعت,15
117,لباس خواب و راحتی,16
118,تاپ، تیشرت و پولوشرت,16
119,شلوار و سرهمی,16
120,شلوارک و شورتک,16
121,سویشرت و هودی,16
122,ژاکت و پلیور,16
123,لباس ورزشی,16
124,پیراهن,16
125,بلوز,16
126,کت و ست رسمی,16
127,لباس زمستانه,16
128,لباس شنا,16
129,لباس زیر,16
130,ورزشی,17
131,کیف، کوله پشتی و چمدان,18
132,عینک,18
133,جوراب و ساق,18
134,دستکش,18
135,کمربند,18
136,زیورآلات,18
137,کلاه و شال,18
138,ساعت,18
140,لباس رسمی,19
141,لباس راحتی,19
142,دامن و سارافون,19
143,ژاکت و پلیور,19
144,لباس زمستانه,19
145,بلوز، شومیز و تونیک,19
146,شلوارک,19
147,پیراهن,19
148,سویشرت و هودی,19
149,تیشرت، پولوشرت و تاپ,19
150,جوراب و جوراب شلواری,19
